run,key,regime,user,controller,feature_kind,method,M,L,proposal_std,episodes,task_success_count,successful_target_count,target_rate,fallback_count,mean_valid_current_fraction,batch_replan_seconds
mode-aligned-best-M8-std1,centered__lower_narrow_direction__oracle_best,centered,lower_narrow_direction,oracle,mode,best,8,4,1.0,16,16,12,0.75,0,1.0,12.221263504005037
mode-aligned-best-M8-std1,centered__lower_narrow_direction__learned_20,centered,lower_narrow_direction,learned20,mode,best,8,4,1.0,16,16,12,0.75,0,1.0,12.327730514050927
mode-aligned-best-M8-std1,centered__lower_narrow_width__oracle_best,centered,lower_narrow_width,oracle,mode,best,8,4,1.0,16,16,12,0.75,0,1.0,12.633680806029588
mode-aligned-best-M8-std1,centered__lower_narrow_width__learned_20,centered,lower_narrow_width,learned20,mode,best,8,4,1.0,16,16,12,0.75,0,1.0,12.26320412196219
mode-aligned-best-M8-std1,centered__lower_wide_direction__oracle_best,centered,lower_wide_direction,oracle,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.26526424702024
mode-aligned-best-M8-std1,centered__lower_wide_direction__learned_20,centered,lower_wide_direction,learned20,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.342678559012711
mode-aligned-best-M8-std1,centered__lower_wide_width__oracle_best,centered,lower_wide_width,oracle,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.324079088924918
mode-aligned-best-M8-std1,centered__lower_wide_width__learned_20,centered,lower_wide_width,learned20,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.27927127899602
mode-aligned-best-M8-std1,gaussian__upper_narrow_direction__oracle_best,gaussian,upper_narrow_direction,oracle,mode,best,8,4,1.0,16,16,3,0.1875,0,1.0,12.271942492981907
mode-aligned-best-M8-std1,gaussian__upper_narrow_direction__learned_20,gaussian,upper_narrow_direction,learned20,mode,best,8,4,1.0,16,16,3,0.1875,0,1.0,12.255390569043811
mode-aligned-best-M8-std1,gaussian__upper_narrow_width__oracle_best,gaussian,upper_narrow_width,oracle,mode,best,8,4,1.0,16,16,3,0.1875,0,1.0,12.136945245030802
mode-aligned-best-M8-std1,gaussian__upper_narrow_width__learned_20,gaussian,upper_narrow_width,learned20,mode,best,8,4,1.0,16,16,3,0.1875,0,1.0,12.064124108990654
mode-aligned-best-M8-std1,gaussian__upper_wide_direction__oracle_best,gaussian,upper_wide_direction,oracle,mode,best,8,4,1.0,16,16,6,0.375,0,1.0,12.05805006006267
mode-aligned-best-M8-std1,gaussian__upper_wide_direction__learned_20,gaussian,upper_wide_direction,learned20,mode,best,8,4,1.0,16,16,6,0.375,0,1.0,12.07180579303531
mode-aligned-best-M8-std1,gaussian__upper_wide_width__oracle_best,gaussian,upper_wide_width,oracle,mode,best,8,4,1.0,16,16,6,0.375,0,1.0,12.05332809506217
mode-aligned-best-M8-std1,gaussian__upper_wide_width__learned_20,gaussian,upper_wide_width,learned20,mode,best,8,4,1.0,16,16,6,0.375,0,1.0,12.08927495701937
mode-aligned-best-M8-std1,gaussian__lower_narrow_direction__oracle_best,gaussian,lower_narrow_direction,oracle,mode,best,8,4,1.0,16,16,4,0.25,0,1.0,12.101162330945954
mode-aligned-best-M8-std1,gaussian__lower_narrow_direction__learned_20,gaussian,lower_narrow_direction,learned20,mode,best,8,4,1.0,16,16,4,0.25,0,1.0,12.119422852003481
mode-aligned-best-M8-std1,gaussian__lower_narrow_width__oracle_best,gaussian,lower_narrow_width,oracle,mode,best,8,4,1.0,16,16,4,0.25,0,1.0,12.09908142092172
mode-aligned-best-M8-std1,gaussian__lower_narrow_width__learned_20,gaussian,lower_narrow_width,learned20,mode,best,8,4,1.0,16,16,4,0.25,0,1.0,12.088612377934624
mode-aligned-best-M8-std1,gaussian__lower_wide_direction__oracle_best,gaussian,lower_wide_direction,oracle,mode,best,8,4,1.0,16,16,9,0.5625,0,1.0,12.177750549162738
mode-aligned-best-M8-std1,gaussian__lower_wide_direction__learned_20,gaussian,lower_wide_direction,learned20,mode,best,8,4,1.0,16,16,9,0.5625,0,1.0,12.102562764950562
mode-aligned-best-M8-std1,gaussian__lower_wide_width__oracle_best,gaussian,lower_wide_width,oracle,mode,best,8,4,1.0,16,16,9,0.5625,0,1.0,11.96297752787359
